verse_key,eng
1CH.1.1,"Adam, Seth, Enosh."
1CH.1.10,"Cush was the father of Nimrod, the first warrior in the land."
1CH.1.11,"Egypt was the father of Ludim, Anamim, Lehabim, Naphtuhim."
1CH.1.12,"Pathrusim, Casluhim, from whom the Philistines came, and Caphtorim."
1CH.1.13,"Canaan was the father of Sidon his oldest son, Heth."
1CH.1.14,"the Jebusites, the Amorites, the Girgashites."
1CH.1.15,"the Hivites, the Arkites, the Sinites."
1CH.1.16,"the Arvadites, the Zemarites, and the Hamathites."
1CH.1.17,"Shems family: Elam, Asshur, Arpachshad, Lud, and Aram. Arams family: Uz, Hul, Gether, and Meshech."
1CH.1.18,"Arpachshad was Shelahs father, and Shelah was Ebers father."
1CH.1.19,"Two sons were born to Eber: one was named Peleg, because in his days the land was divided; and his brothers name was Joktan."
1CH.1.2,"Kenan, Mahalalel, Jared."
1CH.1.20,"Joktan was the father of Almodad, Sheleph, Hazarmaveth, Jerah."
1CH.1.21,"Hadoram, Uzal, Diklah."
1CH.1.22,"Ebal, Abimael, Sheba."
1CH.1.23,"Ophir, Havilah, and Jobab. All these were Joktans family."
1CH.1.24,"Shem, Arpachshad, Shelah."
1CH.1.25,"Eber, Peleg, Reu."
1CH.1.26,"Serug, Nahor, Terah."
1CH.1.27,"and Abram, that is, Abraham."
1CH.1.28,Abrahams family: Isaac and Ishmael.
1CH.1.29,"These were their descendants. Ishmaels oldest son was Nebaioth, then Kedar, Adbeel, Mibsam."
1CH.1.3,"Enoch, Methuselah, Lamech."
1CH.1.30,"Mishma, Dumah, Massa, Hadad, Tema."
1CH.1.31,"Jetur, Naphish, and Kedemah. This was Ishmaels family."
1CH.1.32,"Abrahams secondary wife Keturahs family: she gave birth to Zimran, Jokshan, Medan, Midian, Ishbak, and Shuah. Jokshans family: Sheba and Dedan."
1CH.1.33,"Midians family: Ephah, Epher, Hanoch, Abida, and Eldaah. All these were members of Keturahs family."
1CH.1.34,Abraham was Isaacs father. Isaacs family: Esau and Israel.
1CH.1.35,"Esaus family: Eliphaz, Reuel, Jeush, Jalam, and Korah."
1CH.1.36,"Eliphazs family: Teman, Omar, Zephi, Gatam, Kenaz, Timna, and Amalek."
1CH.1.37,"Reuels family: Nahath, Zerah, Shammah, and Mizzah."
1CH.1.38,"Seirs family: Lotan, Shobal, Zibeon, Anah, Dishon, Ezer, and Dishan."
1CH.1.39,Lotans family: Hori and Homam; Lotans sister was Timna.
1CH.1.4,"Noah; Noahs family: Shem, Ham, and Japheth."
1CH.1.40,"Shobals family: Alian, Manahath, Ebal, Shephi, and Onam. Zibeons family: Aiah and Anah."
1CH.1.41,"Anahs family: Dishon. Dishons family: Hamran, Eshban, Ithran, and Cheran."
1CH.1.42,"Ezers family: Bilhan, Zaavan, and Jaakan. Dishans family: Uz and Aran."
1CH.1.43,"These were the kings who ruled in the land of Edom before any king ruled over the Israelites: Bela, Beors son, whose city was called Dinhabah."
1CH.1.44,"When Bela died, Jobab, Zerahs son from Bozrah, succeeded him."
1CH.1.45,"When Jobab died, Husham from the land of the Temanites succeeded him."
1CH.1.46,"When Husham died, Hadad, Bedads son who defeated Midian in the Moabite countryside, succeeded him; his city was called Avith."
1CH.1.47,"When Hadad died, Samlah from Masrekah succeeded him."
1CH.1.48,"When Samlah died, Shaul from Rehoboth on the river succeeded him."
1CH.1.49,"When Shaul died, Baal-hanan, Achbors son, succeeded him."
1CH.1.5,"Japheths family: Gomer, Magog, Madai, Javan, Tubal, Meshech, and Tiras."
1CH.1.50,"When Baal-hanan died, Hadad succeeded him; his city was called Pai. His wifes name was Mehetabel, Matreds daughter and Me-zahabs granddaughter."
1CH.1.51,"When Hadad died, Edoms tribal chiefs were: Chief Timna, Chief Aliah, Chief Jetheth."
1CH.1.52,"Chief Oholibamah, Chief Elah, Chief Pinon."
1CH.1.53,"Chief Kenaz, Chief Teman, Chief Mibzar."
1CH.1.54,"Chief Magdiel, and Chief Iram. These were Edoms tribal chiefs."
1CH.1.6,"Gomers family: Ashkenaz, Riphath, and Togarmah."
1CH.1.7,"Javans family: Elishah, Tarshish, Kittim, and Rodanim."
1CH.1.8,"Hams family: Cush, Egypt, Put, and Canaan."
1CH.1.9,"Cushs family: Seba, Havilah, Sabta, Raama, and Sabteca. Raamahs family: Sheba and Dedan."
1CH.10.1,"When the Philistines attacked the Israelites, the Israelites ran away from the Philistines, and many fell dead on Mount Gilboa."
1CH.10.10,They placed his armor in their gods temple and displayed his skull on a pole in the temple of Dagon.
1CH.10.11,When all the people of Jabesh-gilead heard all that the Philistines had done to Saul.
1CH.10.12,"all their warriors arose and recovered the corpses of Saul and his sons. They brought them back to Jabesh, buried their bones under the oak in Jabesh, and fasted for seven days."
1CH.10.13,Saul died because he was unfaithful to the LORD and hadnt followed the LORDs word. He even consulted a medium for guidance.
1CH.10.14,"He didnt consult the LORD, so the LORD killed him and gave the kingdom to David, Jesses son."
1CH.10.2,"The Philistines overtook Saul and his sons, and they killed his sons Jonathan, Abinadab, and Malchishua."
1CH.10.3,"The battle was fierce around Saul, and when the archers located him, he trembled in fear."
1CH.10.4,"Saul said to his armor-bearer, Draw your sword and kill me with it! Otherwise, these uncircumcised men will come and kill me or torture me. But his armor-bearer refused because he was terrified. So Saul took the sword and impaled himself on it."
1CH.10.5,"When the armor-bearer saw that Saul was dead, he also impaled himself on his sword and died with Saul."
1CH.10.6,So Saul and his three sons died; his whole household died together.
1CH.10.7,"When all the Israelites who were in the valley saw that the army had run away and that Saul and his sons were dead, they abandoned their towns and fled. So the Philistines came to live in them."
1CH.10.8,"The next day when the Philistines came to strip the dead, they found Saul and his sons lying dead on Mount Gilboa."
1CH.10.9,"They stripped him, carried off his head and armor, and sent messengers throughout the land of the Philistines to spread the news to their idols and to the people."
1CH.11.1,"All the Israelites gathered around David at Hebron. Were your own flesh and blood, they said."
1CH.11.10,"These are the commanders of Davids warriors who continued to support him while he was king. Together with all Israel, they made him king, as the LORD had promised Israel."
1CH.11.11,"This is the list of Davids warriors: Jashobeam, a Hacmonite, was commander of the Thirty. He raised his spear against eight hundred, killing them on a single occasion."
1CH.11.12,"Next in command came Eleazar, Dodos son the Ahohite, who was one of the three warriors."
1CH.11.13,"He was with David at Pas-dammim. The Philistines were gathered there for battle, where part of a field was full of barley. When the people ran away from the Philistines."
1CH.11.14,"he and David stood in the middle of the field, held their ground, and defeated the Philistines. So the LORD achieved a great victory."
1CH.11.15,"Three of the thirty commanders went down from the rock to David at the fortress of Adullam, while the army of the Philistines camped in the Rephaim Valley."
1CH.11.16,"At that time David was in the fortress, and a Philistine fort was in Bethlehem."
1CH.11.17,"David had a craving and said, If only someone could give me a drink of water from the well by the gate in Bethlehem."
1CH.11.18,So the three warriors broke through the Philistine camp and drew water from the well by the gate in Bethlehem and brought it back to David. But he refused to drink it and poured it out to the LORD.
1CH.11.19,"God forbid that I should do that, he said. Isnt this the blood of men who risked their lives? So he refused to drink it. Since they had brought it at the risk of their lives, David refused to drink it. These were the kinds of things the three warriors did."
1CH.11.2,"In the past, even when Saul ruled over us, you were the one who led Israel. The LORD your God told you, You will shepherd my people Israel, and you will become a leader over my people Israel."
1CH.11.20,"Abishai, Joabs brother, was chief of the Thirty. He raised his spear against the three hundred men he had slain, but he wasnt considered one of the Three."
1CH.11.21,"He was the most famous of the Thirty. He became their commander, but he wasnt among the Three."
1CH.11.22,"Benaiah, Jehoiadas son from Kabzeel, was a hero who performed great deeds. He killed two of Moabs leaders, and on a snowy day went down into a pit where he killed a lion."
1CH.11.23,"He also killed an Egyptian seven and a half feet tall, who was holding a spear like a weavers beam. Benaiah went down to him with a club, grabbed the spear from the Egyptians hand, and killed him with it."
1CH.11.24,"These were the exploits of Benaiah, Jehoiadas son; he wasnt considered one of the three warriors."
1CH.11.25,"He was famous among the Thirty, but didnt become one of the Three. David placed him in command of his own bodyguard."
1CH.11.26,"The mighty warriors: Asahel, Joabs brother; Elhanan, Dodos son from Bethlehem."
1CH.11.27,Shammoth from Haror; Helez from Pelon.
1CH.11.28,"Ira, Ikkeshs son from Tekoa; Abiezer from Anathoth."
1CH.11.29,Sibbecai the Hushathite; Ilai from Ahoh.
1CH.11.3,"So all of Israels elders came to the king at Hebron, and David made a covenant with them before the LORD. They anointed David to make him king over Israel, just as the LORD had promised through Samuel."
1CH.11.30,"Maharai from Netophah; Heled, Baanahs son from Netophah."
1CH.11.31,"Ithai, Ribais son from Gibeah of the Benjaminites; Benaiah from Pirathon."
1CH.11.32,Hurai from the Gaash ravines; Abiel the Arbathite.
1CH.11.33,Azmaveth from Baharum; Eliahba from Shaalbon.
1CH.11.34,"Hashem the Gizonite; Jonathan, Shagees son from Harar."
1CH.11.35,"Ahiam, Sachars son from Harar; Eliphal, Urs son."
1CH.11.36,Hepher the Mecherathite; Ahijah the Pelonite.
1CH.11.37,"Hezro from Carmel; Naarai, Ezbais son."
1CH.11.38,"Joel, Nathans brother; Mibhar, Hagris son."
1CH.11.39,"Zelek the Ammonite; Naharai from Beeroth, Zeruiahs son and the armor-bearer for Joab."
